abstract,article_type,journal,publication_date,title
"<p>Warming temperatures are advancing the timing of seasonal vegetation development in the extratropics, altering plant–animal interactions and increasing the risk of trophic asynchrony. Forest understories are critical yet under-observed ecosystems in which phenological patterns are both altered and obscured by overstory trees. We address the challenge of observing phenological dynamics in the understory by exploiting the physiological relationship between plant phenology and temperature accumulation, a horticultural principle we show to be preserved across spatial scales through a combination of field and growth-chamber observations. These observations provide the foundation for a spaceborne thermal-observation framework, which can trace the discrete phenophases of forest understory plants in near-real time. The thermal basis of this framework also enables the prediction of understory phenology for future climates, which we demonstrate here using <i>Shepherdia canadensis</i>, a widespread fruiting shrub of western North America that has important trophic connections to frugivores. Our approach enables researchers to assess the regional-scale impacts of climate change on bottom-up forest ecosystems and to monitor emerging trophic mismatches.</p>",Article,Nature Climate Change,15 April 2019,Advances in phenology are conserved across scale in present and future climates
"<p>Equilibrium climate sensitivity (ECS) and hydrological sensitivity describe the global mean surface temperature and precipitation responses to a doubling of atmospheric CO<sub>2</sub>. Despite their connection via the Earth’s energy budget, the physical linkage between these two metrics remains controversial. Here, using a global climate model with a perturbed mean hydrological cycle, we show that ECS and hydrological sensitivity per unit warming are anti-correlated owing to the low-cloud response to surface warming. When the amount of low clouds decreases, ECS is enhanced through reductions in the reflection of shortwave radiation. In contrast, hydrological sensitivity is suppressed through weakening of atmospheric longwave cooling, necessitating weakened condensational heating by precipitation. These compensating cloud effects are also robustly found in a multi-model ensemble, and further constrained using satellite observations. Our estimates, combined with an existing constraint to clear-sky shortwave absorption, suggest that hydrological sensitivity could be lower by 30% than raw estimates from global climate models.</p>",Article,Nature Climate Change,17 September 2018,Low clouds link equilibrium climate sensitivity to hydrological sensitivity
"<p>Reducing CO<sub>2</sub> emissions through a shift from coal to natural gas power plants is a key strategy to support pathways for climate stabilization. However, methane leakage in the natural gas supply chain and emissions of a variety of climate forcers call the net benefits of this transition into question. Here, we integrated a life cycle inventory model with multiple global and regional emission metrics and investigated the impacts of representative coal and gas power plants in China, Germany, India and the United States. We found that the coal-to-gas shift is consistent with climate stabilization objectives for the next 50–100 years. Our finding is robust under a range of leakage rates and uncertainties in emissions data and metrics. It becomes conditional to the leakage rate in some locations only if we employ a set of metrics that essentially focus on short-term effects. Our case for the coal-to-gas shift is stronger than previously found, reinforcing the support for coal phase-out.</p>",Article,Nature Climate Change,22 April 2019,Asserting the climate benefits of the coal-to-gas shift across temporal and spatial scales
"<p>Ocean acidification (OA) is a major threat to coral reefs, which are built by calcareous species. However, long-term assessments of the impacts of OA are scarce, limiting the understanding of the capacity of corals and coralline algae to acclimatize to high partial pressure of carbon dioxide (<span class=""mathjax-tex"">\({p}_{\mathrm{CO}_{2}}\)</span>) levels. Species-specific sensitivities to OA are influenced by its impacts on chemistry within the calcifying fluid (CF). Here, we investigate the capacity of multiple coral and calcifying macroalgal species to acclimatize to elevated <span class=""mathjax-tex"">\({p}_{\mathrm{CO}_{2}}\)</span> by determining their chemistry in the CF during a year-long experiment. We found no evidence of acclimatization to elevated <span class=""mathjax-tex"">\({p}_{\mathrm{CO}_{2}}\)</span> across any of the tested taxa. The effects of increasing seawater <span class=""mathjax-tex"">\({p}_{\mathrm{CO}_{2}}\)</span> on the CF chemistry were rapid and persisted until the end of the experiment. Our results show that acclimatization of the CF chemistry does not occur within one year, which confirms the threat of OA for future reef accretion and ecological function.</p>",Article,Nature Climate Change,27 May 2019,Resistance to ocean acidification in coral reef taxa is not gained by acclimatization
"<p>The Paris agreement has provided a new framework for climate policy. Complementary forms of international collaboration, such as climate clubs, are probably necessary to foster and mainstream the process of gradual and voluntary increase in nationally determined contributions. We provide a quantitative macro-economic assessment of the costs and benefits that would be associated with different climate club architectures. We find that the key benefits that could structure the club are enhanced technological diffusion and the provision of low-cost climate finance, which reduce investment costs and also enables developing countries to take full advantage of technological diffusion. Although they face the highest absolute mitigation cost, China and India are the largest relative winners from club participation because the burden faced by these countries to finance their energy transition can be massively reduced following their participation in the club.</p>",Article,Nature Climate Change,17 June 2019,Climate clubs and the macro-economic benefits of international cooperation on climate policy
"<p>Since the turn of the twenty-first century, North America has experienced a number of record-breaking warm and cold winters. Thus, determining what causes these extremes is of great interest. Here we show that an eastward shift of the North Pacific Oscillation (NPO) in recent decades has caused its flip in phases to have more influence in causing abnormal warming and cooling over North America. Observations and climate models reveal the zonal displacement on an interdecadal timescale, and it is largely attributable to a Rossby wave response to the La Niña-like mean state of the tropical Pacific. This tropical influence affects the atmospheric mean baroclinicity over the extratropical North Pacific, which regulates the rate of available potential energy conversion that feeds the NPO. These results suggest that, as long as the NPO remains in the east, North America may continue to experience prolonged winter extremes.</p>",Article,Nature Climate Change,22 April 2019,Tropical influence on the North Pacific Oscillation drives winter extremes in North America
"<p>Climate-change-driven alterations in the extent and intensity of extreme weather events may have catastrophic consequences for primate populations. Using a trait-based approach, we assessed the vulnerability of the world’s 607 primate taxa to effects of cyclones and droughts—two types of extreme climatic events that are expected to increase and/or intensify in the future. We found that 16% of primate taxa are vulnerable to cyclones, particularly taxa in Madagascar; 22% are vulnerable to droughts, mainly taxa in the Malaysia Peninsula, North Borneo, Sumatra and tropical moist forests of West Africa. These findings will help with prioritization of primate conservation efforts. They indicate a need for increased efforts to investigate the context-specific mechanisms underpinning primates’ vulnerability to extreme climatic events.</p>",Article,Nature Climate Change,17 June 2019,Global assessment of primate vulnerability to extreme climatic events
"<p>A carbon tax is widely accepted as the most effective policy for curbing carbon emissions but is controversial because it imposes costs on consumers. An alternative, ‘nudge,’ approach promises smaller benefits but with much lower costs. However, nudges aimed at reducing carbon emissions could have a pernicious indirect effect if they offer the promise of a ‘quick fix’ and thereby undermine support for policies of greater impact. Across six experiments, including one conducted with individuals involved in policymaking, we show that introducing a green energy default nudge diminishes support for a carbon tax. We propose that nudges decrease support for substantive policies by providing false hope that problems can be tackled without imposing considerable costs. Consistent with this account, we show that by minimizing the perceived economic cost of the tax and disclosing the small impact of the nudge, eliminates crowding-out without diminishing support for the nudge.</p>",Article,Nature Climate Change,13 May 2019,Nudging out support for a carbon tax
"<p>Domestic political processes shape climate policy. In particular, there is increasing concern about the role of political lobbying over climate policy. This paper examines how lobbying spending on the Waxman–Markey bill, the most prominent and promising United States climate regulation so far, altered its likelihood of being implemented. We combine data from comprehensive United States lobbying records with an empirical method for forecasting the policy’s effect on the value of publicly listed firms. Our statistical analysis suggests that lobbying by firms expecting losses from the policy was more effective than lobbying by firms expecting gains. Interpreting this finding through a game-theoretic model, we calculate that lobbying lowered the probability of enacting the Waxman–Markey bill by 13 percentage points, representing an expected social cost of US$60 billion (in 2018 US dollars). Our findings also suggest how future climate policy proposals can be designed to be more robust to political opposition.</p>",Article,Nature Climate Change,27 May 2019,The social cost of lobbying over climate policy
"<p>Iconic places, including World Heritage areas, are symbolic and synonymous with national and cultural identities. Recognition of an existential threat to an icon may therefore arouse public concern and protective sentiment. Here we test this assumption by comparing sentiments, threat perceptions and values associated with the Great Barrier Reef and climate change attitudes among 4,681 Australian and international tourists visiting the Great Barrier Reef region before and after mass coral bleaching in 2016 and 2017. There was an increase in grief-related responses and decline in self-efficacy, which could inhibit individual action. However, there was also an increase in protective sentiments, ratings of place values and the proportion of respondents who viewed climate change as an immediate threat. These results suggest that imperilled icons have potential to mobilize public support around addressing the wider threat of climate change but that achieving and sustaining engagement will require a strategic approach to overcome self-efficacy barriers.</p>",Article,Nature Climate Change,24 June 2019,Shifts in tourists’ sentiments and climate risk perceptions following mass coral bleaching of the Great Barrier Reef
"<p>Previous studies reconstructed twentieth-century global mean sea level (GMSL) from sparse tide-gauge records to understand whether the recent high rates obtained from satellite altimetry are part of a longer-term acceleration. However, these analyses used techniques that can only accurately capture either the trend or the variability in GMSL, but not both. Here we present an improved hybrid sea-level reconstruction during 1900–2015 that combines previous techniques at time scales where they perform best. We find a persistent acceleration in GMSL since the 1960s and demonstrate that this is largely (~76%) associated with sea-level changes in the Indo-Pacific and South Atlantic. We show that the initiation of the acceleration in the 1960s is tightly linked to an intensification and a basin-scale equatorward shift of Southern Hemispheric westerlies, leading to increased ocean heat uptake, and hence greater rates of GMSL rise, through changes in the circulation of the Southern Ocean.</p>",Article,Nature Climate Change,05 August 2019,Persistent acceleration in global sea-level rise since the 1960s
"<p>In the present era of rapid global change, development of early warnings of ecological regime shifts is a major focus in ecology. Identifying and tracking shifts in spatial regimes is a new approach with potential to enhance understanding of ecological responses to global change. Here, we show strong directional non-stationarity of spatial regimes identified by avian community body mass data. We do this by tracking 46 years of avian spatial regime movement in the North American Great Plains. The northernmost spatial regime boundary moved &gt;590 km northward, and the southernmost boundary moved &gt;260 km northward. Tracking spatial regimes affords decadal planning horizons and moves beyond the predominately temporal early warnings of the past by providing spatiotemporally explicit detection of regime shifts in systems without fixed boundaries.</p>",Article,Nature Climate Change,24 June 2019,Shifting avian spatial regimes in a changing climate
"<p>Understanding climate-driven impacts on the multivariate global wind-wave climate is paramount to effective offshore/coastal climate adaptation planning. However, the use of single-method ensembles and variations arising from different methodologies has resulted in unquantified uncertainty amongst existing global wave climate projections. Here, assessing the first coherent, community-driven, multi-method ensemble of global wave climate projections, we demonstrate widespread ocean regions with robust changes in annual mean significant wave height and mean wave period of 5–15% and shifts in mean wave direction of 5–15°, under a high-emission scenario. Approximately 50% of the world’s coastline is at risk from wave climate change, with ~40% revealing robust changes in at least two variables. Furthermore, we find that uncertainty in current projections is dominated by climate model-driven uncertainty, and that single-method modelling studies are unable to capture up to ~50% of the total associated uncertainty.</p>",Article,Nature Climate Change,19 August 2019,Robustness and uncertainties in global multivariate wind-wave climate projections
"<p>Observations show that reduced regional sea-ice cover is coincident with cold mid-latitude winters on interannual timescales. However, it remains unclear whether these observed links are causal, and model experiments suggest that they might not be. Here we apply two independent approaches to infer causality from observations and climate models and to reconcile these sources of data. Models capture the observed correlations between reduced sea ice and cold mid-latitude winters, but only when reduced sea ice coincides with anomalous heat transfer from the atmosphere to the ocean, implying that the atmosphere is driving the loss. Causal inference from the physics-based approach is corroborated by a lead–lag analysis, showing that circulation-driven temperature anomalies precede, but do not follow, reduced sea ice. Furthermore, no mid-latitude cooling is found in modelling experiments with imposed future sea-ice loss. Our results show robust support for anomalous atmospheric circulation simultaneously driving cold mid-latitude winters and mild Arctic conditions, and reduced sea ice having a minimal influence on severe mid-latitude winters.</p>",Article,Nature Climate Change,12 August 2019,Minimal influence of reduced Arctic sea ice on coincident cold winters in mid-latitudes
"<p>The attribution of anthropogenically forced trends in the climate system requires an understanding of when and how such signals emerge from natural variability. We applied time-of-emergence diagnostics to a large ensemble of an Earth system model, which provides both a conceptual framework for interpreting the detectability of anthropogenic impacts in the ocean carbon cycle and observational sampling strategies required to achieve detection. We found emergence timescales that ranged from less than a decade to more than a century, a consequence of the time lag between the chemical and radiative impacts of rising atmospheric CO<sub>2</sub> on the ocean. Processes sensitive to carbonate chemical changes emerge rapidly, such as the impacts of acidification on the calcium carbonate pump (10 years for the globally integrated signal and 9–18 years for regionally integrated signals) and the invasion flux of anthropogenic CO<sub>2</sub> into the ocean (14 years globally and 13–26 years regionally). Processes sensitive to the ocean’s physical state, such as the soft-tissue pump, which depends on nutrients supplied through circulation, emerge decades later (23 years globally and 27–85 years regionally).</p>",Article,Nature Climate Change,19 August 2019,Emergence of anthropogenic signals in the ocean carbon cycle
"<p>Diatoms, large bloom-forming marine microorganisms, build frustules out of silicate, which ballasts the cells and aids their export to the deep ocean. This unique physiology forges an important link between the marine silicon and carbon cycles. However, the effect of ocean acidification on the silicification of diatoms is unclear. Here we show that diatom silicification strongly diminishes with increased acidity in a natural Antarctic community. Analyses of single cells from within the community reveal that the effect of reduced pH on silicification differs among taxa, with several species having significantly reduced silica incorporation at CO<sub>2</sub> levels equivalent to those projected for 2100. These findings suggest that, before the end of this century, ocean acidification may influence the carbon and silicon cycle by both altering the composition of the diatom assemblages and reducing cell ballasting, which will probably alter vertical flux of these elements to the deep ocean.</p>",Article,Nature Climate Change,26 August 2019,Acidification diminishes diatom silica production in the Southern Ocean
"<p>Damages due to climate change are expected to increase with global warming, which could be limited directly by solar geoengineering. Here we analyse the views of 723 negotiators and scientists who are involved in international climate policy-making and who will have a considerable influence on whether solar geoengineering will be used to counter climate change. We find that respondents who expect severe global climate change damages and who have little confidence in current mitigation efforts are more opposed to geoengineering than respondents who are less pessimistic about global damages and mitigation efforts. However, we also find that respondents are more supportive of geoengineering when they expect severe climate change damages in their home country than when they have more optimistic expectations for the home country. Thus, when respondents are more personally affected, their views are closer to what rational cost–benefit analyses predict.</p>",Article,Nature Climate Change,02 September 2019,Climate experts’ views on geoengineering depend on their beliefs about climate change impacts
"<p>Accurate confidence—confidence that reflects the accuracy of knowledge—can be relevant for decision-making in areas of high uncertainty. Accuracy of confidence is of particular importance in the area of climate change where scientifically correct information exists alongside misinformation in the public discourse and media. Here we assess the accuracy of confidence in climate change knowledge in a national German sample (<i>n</i> = 509). The accuracy of the confidence of the citizens in their climate change knowledge was only around half of what it could be based on the accuracy of their knowledge. Moreover, the accuracy of confidence controlling for knowledge accuracy was lower for climate change than for two benchmark comparisons: general science knowledge in another national German sample (<i>n</i> = 588), and climate change knowledge in a scientist sample (<i>n</i> = 207). Although these results cannot necessarily be generalized to the population of all indicators of climate change knowledge, the results suggest that the confidence of citizens in their climate change knowledge is unnecessarily fuzzy given their actual knowledge.</p>",Article,Nature Climate Change,09 September 2019,The accuracy of German citizens’ confidence in their climate change knowledge
